Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get skier total vertical,6400,15,15,18,20,32,10,235,0.000%,606.06061,106.30,110.02
TOTAL,6400,15,15,18,20,32,10,235,0.000%,606.06061,106.30,110.02
