Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get skier day vertical,6400,15,14,17,20,30,10,295,0.000%,604.28666,105.47,115.60
TOTAL,6400,15,14,17,20,30,10,295,0.000%,604.28666,105.47,115.60
