Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get resrt skier count,6400,15,14,17,19,30,10,1036,0.000%,602.69329,106.53,113.00
TOTAL,6400,15,14,17,19,30,10,1036,0.000%,602.69329,106.53,113.00
