Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group-ski app-skiers total:Get skier total vertical,6400,14,14,16,17,28,10,79,0.000%,604.11554,124.27,91.96
TOTAL,6400,14,14,16,17,28,10,79,0.000%,604.11554,124.27,91.96
