Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group-ski app-skiers-day:Get skier day vertical,6400,14,14,16,17,28,9,223,0.000%,606.92271,124.31,98.32
TOTAL,6400,14,14,16,17,28,9,223,0.000%,606.92271,124.31,98.32
