Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group-ski app-resort:Get resrt skier count,6400,16,13,15,16,32,9,789,0.000%,606.34770,125.54,95.93
TOTAL,6400,16,13,15,16,32,9,789,0.000%,606.34770,125.54,95.93
